Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA,In City Of Melbourne
TRAM,1103,19679,19-Shrine of Remembrance/St Kilda Rd (Melbourne City),-37.8289,144.9712,1,"3/3a,5,6,64,67,72,16",POINT (-37.82893104 144.97122888),,True
TRAM,1104,19681,17-Grant St-Police Memorial/St Kilda Rd (Southbank),-37.8246,144.9708,1,"3/3a,5,6,64,67,72,16",POINT (-37.82463399 144.97080084),,True
TRAM,1105,19684,14-Arts Precinct/St Kilda Rd (Southbank),-37.8215,144.9692,1,"16,3/3a,5,6,64,67,72,1",POINT (-37.82151702 144.96923916),,True
TRAM,1106,19685,13-Federation Square/Swanston St (Melbourne City),-37.8181,144.9677,1,"16,3/3a,5,6,64,67,72,1",POINT (-37.81806498 144.96767496),,True
TRAM,1107,19686,11-City Square/Swanston St (Melbourne City),-37.8157,144.9666,1,"16,3/3a,5,6,64,67,72,1",POINT (-37.81573002 144.96656904),,True
TRAM,1108,19687,10-Bourke Street Mall/Swanston St (Melbourne City),-37.8128,144.9652,1,"16,3/3a,5,6,64,67,72,1",POINT (-37.81275903 144.96518484),,True
TRAM,1109,19689,8-Melbourne Central Station/Swanston St (Melbourne City),-37.8099,144.9639,1,"16,3/3a,5,6,64,67,72,1",POINT (-37.80988902 144.96388992),,True
TRAIN,146,19970,Royal Park Railway Station (Parkville),-37.7812,144.9523,1,Upfield,POINT (-37.78119297 144.95230116),,True
TRAIN,148,19972,Macaulay Railway Station (North Melbourne),-37.7943,144.9362,1,Upfield,POINT (-37.794267 144.93616596),,True
TRAIN,149,19973,North Melbourne Railway Station (West Melbourne),-37.8074,144.9426,1,"Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",POINT (-37.80741897 144.94257),,True
TRAIN,155,19979,Jolimont-MCG Railway Station (East Melbourne),-37.8165,144.9841,1,"Mernda,Hurstbridge",POINT (-37.81652697 144.98409816),,True
TRAIN,195,20026,South Kensington Railway Station (Kensington),-37.7995,144.9255,1,"Williamstown,Werribee",POINT (-37.79953101 144.92546892),,True
TRAIN,207,20041,Kensington Railway Station (Kensington),-37.7938,144.9305,1,Craigieburn,POINT (-37.79378001 144.93052404),,True
TRAIN,209,22180,Southern Cross Railway Station (Melbourne City),-37.8179,144.9514,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (-37.81793601 144.95141088),,True
TRAIN,17,19841,Flagstaff Railway Station (Melbourne City),-37.812,144.9557,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (-37.81198098 144.95565384),,True
TRAIN,18,19842,Melbourne Central Railway Station (Melbourne City),-37.8099,144.9626,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (-37.80993897 144.96259392),,True
